h1|h2|h3|ind|
"Lurraldea eta ingurumena"|"Azalera eta Altitudea"|"Lurralde azalera"|"Azalera (Km²)"|
"Lurraldea eta ingurumena"|"Azalera eta Altitudea"|"Berdeguneen eta babestutako eremuen azalera"|"Baso azalera (azalera guztiaren %)"|
"Lurraldea eta ingurumena"|"Azalera eta Altitudea"|"Berdeguneen eta babestutako eremuen azalera"|"Udalerriko babes bereziko azaleraren %"|
"Lurraldea eta ingurumena"|"Azalera eta Altitudea"|"Berdeguneen eta babestutako eremuen azalera"|"Hiri berdeguneek, lorategiek eta parkek hartzen duten azaleraren % (hiri lurzoruaren %)"|
"Lurraldea eta ingurumena"|"Azalera eta Altitudea"|"Berdeguneen eta babestutako eremuen azalera"|"Hiri berdeguneek, lorategiek eta parkek hartzen duten azalera (m²/biztanle)"|
"Lurraldea eta ingurumena"|"Azalera eta Altitudea"|"Kutsakorrak izan daitezkeen jardueren azalera"|"Kutsatuta egon daitekeen lurzoruaren %"|
"Lurraldea eta ingurumena"|"Azalera eta Altitudea"|"Garraiobideetarako erabilitako azalera"|"Garraiorako erabilitako azaleraren %"|
"Lurraldea eta ingurumena"|"Azalera eta Altitudea"|"Garraiobideetarako erabilitako azalera"|"Errepidetarako erabilitako azaleraren %"|
"Lurraldea eta ingurumena"|"Azalera eta Altitudea"|"Lurralde altitudea"|"Altitudea (metroak)"|
"Lurraldea eta ingurumena"|"Hondakinak"|"Hondakin-sorrera"|"Hiri-hondakinen sorkuntza (kg/biztanle/urte)"|
"Lurraldea eta ingurumena"|"Hondakinak"|"Hondakin-sorrera"|"Hondakin arriskutsuen sorkuntza (kg/biztanle/urte)"|
"Lurraldea eta ingurumena"|"Hondakinak"|"Hondakinak jasotzeko edukiontziak"|"Etxeko hondakinak jasotzeko edukiontziak (‰ biztanleko)"|
"Lurraldea eta ingurumena"|"Hondakinak"|"Hondakinak jasotzeko edukiontziak"|"Beira jasotzeko edukiontziak (‰ biztanleko)"|
"Lurraldea eta ingurumena"|"Hondakinak"|"Hondakinak jasotzeko edukiontziak"|"Papera jasotzeko edukiontziak (‰ biztanleko)"|
"Lurraldea eta ingurumena"|"Hondakinak"|"Hondakinak jasotzeko edukiontziak"|"Pilak jasotzeko edukiontziak (‰ biztanleko)"|
"Lurraldea eta ingurumena"|"Hondakinak"|"Hondakinak jasotzeko edukiontziak"|"Plastikozko ontziak jasotzeko edukiontziak (‰ biztanleko)"|
"Lurraldea eta ingurumena"|"Hondakinak"|"Hondakinak jasotzeko edukiontziak"|"Arropa eta ehunak jasotzeko edukiontziak (‰ biztanleko)"|
"Lurraldea eta ingurumena"|"Ura"|"Ura2"|"Ur eskari osoa biztanleko eta eguneko (litroak/biztanle/egun)"|
"Lurraldea eta ingurumena"|"Ura"|"Ura2"|"Ur industria eskaria biztanleko eta eguneko (litroak/biztanle/egun)"|
"Lurraldea eta ingurumena"|"Ura"|"Ura2"|"Kontsumoko uraren sailkapen sanitarioa (0:Kalifikatu gabea, 1:Txarra, 2:Balekoa, 3:Ona)"|
"Lurraldea eta ingurumena"|"Energia"|"Energia2"|"Jarritako potentzia fotovoltaikoa (kw / 10.000 biz)"|
