h1|h2|h3|ind|
"Territorio y medio ambiente"|"Superficie y altitud"|"Superficie territorial"|"Superficie territorial (km²)"|
"Territorio y medio ambiente"|"Superficie y altitud"|"Superficie de zonas verdes y áreas protegidas"|"% Superficie forestal total"|
"Territorio y medio ambiente"|"Superficie y altitud"|"Superficie de zonas verdes y áreas protegidas"|"% Superficie municipal de especial protección"|
"Territorio y medio ambiente"|"Superficie y altitud"|"Superficie de zonas verdes y áreas protegidas"|"% Superficie ocupada por parques, jardines y zonas verdes urbanas (% sobre el suelo urbano)"|
"Territorio y medio ambiente"|"Superficie y altitud"|"Superficie de zonas verdes y áreas protegidas"|"Superficie ocupada por parques, jardines y zonas verdes urbanas (m²/habitante)"|
"Territorio y medio ambiente"|"Superficie y altitud"|"Superficie de actividades potencialmente contamina"|"% Suelo potencialmente contaminado"|
"Territorio y medio ambiente"|"Superficie y altitud"|"Superficie empleada para medios de transporte"|"% Superficie destinada al transporte"|
"Territorio y medio ambiente"|"Superficie y altitud"|"Superficie empleada para medios de transporte"|"% Superficie destinada a carreteras"|
"Territorio y medio ambiente"|"Superficie y altitud"|"Altitud territorial"|"Altitud (metros)"|
"Territorio y medio ambiente"|"Residuos"|"Generación de residuos"|"Generación de residuos urbanos (kg/habitante/año)"|
"Territorio y medio ambiente"|"Residuos"|"Generación de residuos"|"Generación de residuos peligrosos (kg/habitante/año)"|
"Territorio y medio ambiente"|"Residuos"|"Contenedores para la recogida de residuos"|"Contenedores para la recogida de residuos domésticos (‰ habitantes)"|
"Territorio y medio ambiente"|"Residuos"|"Contenedores para la recogida de residuos"|"Contenedores para la recogida de vidrio (‰ habitantes)"|
"Territorio y medio ambiente"|"Residuos"|"Contenedores para la recogida de residuos"|"Contenedores para la recogida de papel (‰ habitantes)"|
"Territorio y medio ambiente"|"Residuos"|"Contenedores para la recogida de residuos"|"Contenedores para la recogida de pilas (‰ habitantes)"|
"Territorio y medio ambiente"|"Residuos"|"Contenedores para la recogida de residuos"|"Contenedores para la recogida de envases plásticos (‰ habitantes)"|
"Territorio y medio ambiente"|"Residuos"|"Contenedores para la recogida de residuos"|"Contenedores para la recogida de ropa y textiles (‰ habitantes)"|
"Territorio y medio ambiente"|"Agua"|"Agua2"|"Demanda total de agua por habitante y día (litros/hab/día)"|
"Territorio y medio ambiente"|"Agua"|"Agua2"|"Demanda industrial de agua por habitante y día (litros/hab/día)"|
"Territorio y medio ambiente"|"Agua"|"Agua2"|"Calificación sanitaria del agua de consumo (0:Sin Calificar, 1:Deficiente, 2:Tolerable, 3: Satisfactoria)"|
"Territorio y medio ambiente"|"Energía"|"Energía2"|"Potencia fotovoltaica instalada (kw/10.000 habitantes)"|
"Territorio y medio ambiente"|"Energía"|"Energía2"|"Potencia eólica instalada (kw/10.000 habitantes)"|
"Territorio y medio ambiente"|"Energía"|"Energía2"|"Potencia hidráulica instalada (kw/10.000 habitantes)"|
"Territorio y medio ambiente"|"Energía"|"Energía2"|"Superficie solar térmica instalada (m²/10.000 habitantes)"|
"Territorio y medio ambiente"|"Energía"|"Energía2"|"Consumo eléctrico anual por habitante(kwh/hab)"|
"Territorio y medio ambiente"|"Energía"|"Energía2"|"Consumo eléctrico anual del sector industrial por habitante(kwh/hab)"|
"Territorio y medio ambiente"|"Energía"|"Energía2"|"Consumo eléctrico anual del sector no industrial por habitante(kwh/hab)"|
"Territorio y medio ambiente"|"Conciencia medioambiental"|"Conciencia medioambiental2"|"% Establecimientos con acreditación medioambiental"|
"Territorio y medio ambiente"|"Conciencia medioambiental"|"Conciencia medioambiental2"|"% Viviendas con certificado de eficiencia energética (% sobre total de viviendas)"|
"Territorio y medio ambiente"|"Ganadería"|"Bovinos"|"Bovinos2"|
"Territorio y medio ambiente"|"Ganadería"|"Bovinos"|"Bovinos: Machos mayor 2 años"|
"Territorio y medio ambiente"|"Ganadería"|"Bovinos"|"Bovinos: Hembras entre 1 y 2 años de aptitud cárnica"|
"Territorio y medio ambiente"|"Ganadería"|"Bovinos"|"Bovinos: Hembras entre 1 y 2 años de aptitud lechera"|
"Territorio y medio ambiente"|"Ganadería"|"Bovinos"|"Bovinos: Hembras no ordeño mayor 2 años"|
"Territorio y medio ambiente"|"Ganadería"|"Bovinos"|"Bovinos: Hembras ordeño mayor 2 años"|
"Territorio y medio ambiente"|"Ganadería"|"Ovinos"|"Ovinos2"|
"Territorio y medio ambiente"|"Ganadería"|"Ovinos"|"Ovinos: Hembras entre 1 y 2 años"|
"Territorio y medio ambiente"|"Ganadería"|"Ovinos"|"Ovinos: Hembras lecheras mayor 2 años"|
"Territorio y medio ambiente"|"Ganadería"|"Ovinos"|"Ovinos: Hembras carne mayor 2 años"|
"Territorio y medio ambiente"|"Ganadería"|"Caprinos"|"Caprinos2"|
"Territorio y medio ambiente"|"Ganadería"|"Caprinos"|"Caprinos: Hembras entre 1 y 2 años"|
"Territorio y medio ambiente"|"Ganadería"|"Caprinos"|"Caprinos: Hembras lecheras mayor 2 años"|
"Territorio y medio ambiente"|"Ganadería"|"Caprinos"|"Caprinos: Hembras carne mayor 2 años"|
"Territorio y medio ambiente"|"Aire"|"Calidad del aire"|"Días con calidad del aire buena o admisible (% de días)"|
"Población y demografía"|"Población"|"-"|"Población total"|
"Población y demografía"|"Población"|"-"|"Población hombres"|
"Población y demografía"|"Población"|"-"|"Población mujeres"|
"Población y demografía"|"Población"|"-"|"Población total de 0 a 4 años"|
"Población y demografía"|"Población"|"-"|"Población total de 5 a 9 años"|
"Población y demografía"|"Población"|"-"|"Población total de 10 a 14 años"|
"Población y demografía"|"Población"|"-"|"Población total de 15 a 19 años"|
"Población y demografía"|"Población"|"-"|"Población total de 20 a 24 años"|
"Población y demografía"|"Población"|"-"|"Población total de 25 a 29 años"|
"Población y demografía"|"Población"|"-"|"Población total de 30 a 34 años"|
"Población y demografía"|"Población"|"-"|"Población total de 35 a 39 años"|
"Población y demografía"|"Población"|"-"|"Población total de 40 a 44 años"|
"Población y demografía"|"Población"|"-"|"Población total de 45 a 49 años"|
"Población y demografía"|"Población"|"-"|"Población total de 50 a 54 años"|
"Población y demografía"|"Población"|"-"|"Población total de 55 a 59 años"|
"Población y demografía"|"Población"|"-"|"Población total de 60 a 64 años"|
"Población y demografía"|"Población"|"-"|"Población total de 65 a 69 años"|
"Población y demografía"|"Población"|"-"|"Población total de 70 a 74 años"|
"Población y demografía"|"Población"|"-"|"Población total de 75 a 79 años"|
"Población y demografía"|"Población"|"-"|"Población total de 80 a 84 años"|
"Población y demografía"|"Población"|"-"|"Población total de 85 y más años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 0 a 4 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 5 a 9 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 10 a 14 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 15 a 19 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 20 a 24 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 25 a 29 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 30 a 34 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 35 a 39 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 40 a 44 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 45 a 49 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 50 a 54 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 55 a 59 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 60 a 64 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 65 a 69 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 70 a 74 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 75 a 79 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 80 a 84 años"|
"Población y demografía"|"Población"|"-"|"Población hombres de 85 y más años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 0 a 4 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 5 a 9 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 10 a 14 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 15 a 19 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 20 a 24 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 25 a 29 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 30 a 34 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 35 a 39 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 40 a 44 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 45 a 49 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 50 a 54 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 55 a 59 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 60 a 64 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 65 a 69 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 70 a 74 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 75 a 79 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 80 a 84 años"|
"Población y demografía"|"Población"|"-"|"Población mujeres de 85 y más años"|
"Población y demografía"|"Población"|"-"|"Porcentaje de población total de 16 a 64 años"|
"Población y demografía"|"Indicadores demográficos"|"-"|"Densidad de población (hab/km²)"|
"Población y demografía"|"Indicadores demográficos"|"-"|"Variación interanual de la población"|
"Población y demografía"|"Indicadores demográficos"|"-"|"Esperanza de vida al nacer: Hombres"|
"Población y demografía"|"Indicadores demográficos"|"-"|"Esperanza de vida al nacer: Mujeres"|
"Población y demografía"|"Indicadores demográficos"|"-"|"Índice de dependencia ((pob < 15 + pob > 64) / pob 15 a 64) x 100"|
"Población y demografía"|"Indicadores demográficos"|"-"|"Índice de envejecimiento (pob > 64 / pob total) x 100"|
"Población y demografía"|"Indicadores demográficos"|"-"|"Índice de sobreenvejecimento (pob 75 y más / pob 65 y más) x 100"|
"Población y demografía"|"Indicadores demográficos"|"-"|"Índice de maternidad (pob de 0 a 4/ mujeres de 15 a 49) x 100"|
"Población y demografía"|"Indicadores demográficos"|"-"|"Índice de tendencia (pob de 0 a 4 / pob de 5 a 9) x 100"|
"Población y demografía"|"Indicadores demográficos"|"-"|"Índice de reemplazo (pob de 20 a 29 / pob de 55 a 64) x 100"|
"Población y demografía"|"Indicadores demográficos"|"-"|"Índice de infancia (pob 0 a 14 / pob total) x 100"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera total"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Hombres"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Mujeres"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Europa"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: África"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: América"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Asia"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Oceanía y apátridas"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera de Europa: Unión Europea (27)"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera de Europa: Resto de Europa"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Hombres - Europa"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Hombres - África"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Hombres - América"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Hombres - Asia"|
